"","u._Glu_Rep1_0h_purine","u._Glu_Rep2_0h_purine","u._Glu_vector_Rep1_9h_purine","u._Glu_vector_Rep2_9h_purine","u._Glu_gpi1_Rep1_9h_purine","u._Glu_gpi1_Rep2_9h_purine","u._Glu_gspd1_Rep1_9h_purine","u._Glu_gspd1_Rep2_9h_purine","u._Glu_tald1_Rep1_9h_purine","u._Glu_tald1_Rep2_9h_purine","u._Glu_tkt1_Rep1_9h_purine","u._Glu_tkt1_Rep2_9h_purine","u._Glu_dlat1_Rep1_9h_purine","u._Glu_dlat1_Rep2_9h_purine","u._Glu_pgk1_Rep1_9h_purine","u._Glu_pgk1_Rep2_9h_purine","u._Glu_enol1_Rep1_9h_purine","u._Glu_enol1_Rep2_9h_purine","uglu_tkt1_rep1_9h_2ul","uglu_tkt1_rep2_9h_2ul","X123_glu_Rep3_0h_purine","X456_glu_Rep3_0h_purine","X123_glu_Rep3_6h_purine","X123_glu_Rep3_9h_purine","X123_glu_Rep3_12h_purine","X456_glu_Rep3_6h_purine","X456_glu_Rep3_9h_purine","X456_glu_Rep3_12h_purine","X123_Glu_Rep1_0h","X123_Glu_Rep1_12h","X123_Glu_Rep1_6h","X123_Glu_Rep1_9h","X123_Glu_Rep2_0h","X123_Glu_Rep2_12h","X123_Glu_Rep2_6h","X123_Glu_Rep2_9h","X456_Glu_Rep1_0h","X456_Glu_Rep1_12h","X456_Glu_Rep1_6h","X456_Glu_Rep1_9h","X456_Glu_Rep2_0h","X456_Glu_Rep2_12h","X456_Glu_Rep2_6h","X456_Glu_Rep2_9h","uGlu_Rep1_0h","uGlu_Rep2_0h","uGlu_Rep1_6h","uGlu_Rep2_6h","uGlu_Rep1_9h","uGlu_Rep2_9h","uGlu_Rep1_12h","uGlu_Rep2_12h","U_Glu_0h","U_Glu_2h","U_Glu_4h","U_Glu_6h","U_Glu_9h","U_Glu_12h"
"m0",29436.10581962,38389.4195825531,19052.9992044185,24395.608015686,52529.9380007623,141677.700407387,44855.4812989997,85823.2587604612,41927.7682229088,26805.7472065294,17692.2025221958,32823.4231942845,28072.3634591431,20604.7915651959,17794.6966907193,33770.4398207886,20449.2639754482,34010.0496694416,37625.871417939,156123.444717448,35184.561858715,49902.8772107227,26960.2155136538,17861.492179173,28239.1764205713,29201.9519067145,32723.0433845945,47377.7219845042,17579.519539162,16726.0075979875,13209.1584618383,14750.8016765145,22232.3258987699,22389.3192107756,27571.8456545843,7963.17300983736,22572.7184859225,19417.6494764237,16701.2482299694,18397.3188347047,39720.3645053163,26704.3685370953,30466.515040714,38686.4698276411,139942.282135969,131355.053204644,119466.403426369,89456.3238239394,54288.8682652269,53049.7610667515,136240.141786613,46002.5250873073,146253.059931631,36691.7641826869,36709.9929877494,32780.9381334696,45853.6197475154,59125.3863626797
"m1",6232.97935902997,8538.91221496787,6520.76154926732,10116.3754512831,15603.3618858657,42448.8356801749,16430.4007624444,31975.5254493578,15223.986644476,9965.93411432739,5647.5584661363,12271.5447459835,11567.9990068114,6949.61984519056,8116.18373801834,14619.2898316038,9951.56203136074,12518.7721423246,13120.0377891412,51610.039004749,7804.40055256379,10393.1912395063,6983.18343861827,6325.08238795103,9530.11474415842,7631.25288713173,8958.87176825516,12779.0634614468,3727.97366444722,4796.19796694862,3619.16469424524,3730.09814587889,4467.23048618265,6596.98388086507,7147.08762343084,2089.98970079401,4790.49859577576,5095.58768243441,3759.09863380676,4280.57416588305,8213.2632441343,6542.55726511049,7118.64016061741,8891.64068497626,30970.3926875657,26331.2916855059,33232.7719110623,26695.3052288816,17918.7251657644,14600.9491344145,38448.5265457113,15311.8015849485,32537.5262077514,11842.7031287152,12312.0901154928,10637.8357025517,16718.2204998538,18764.0998790039
"m2",4401.8246410216,5831.05011480524,3985.14954535544,5589.37371840547,9934.88139396584,28032.9731162037,12102.7764536682,22665.825173833,10135.2050561599,7174.08852343914,3760.94414248373,8260.51170925605,6987.75847673735,5138.75485057454,4426.61386967312,9628.53528259476,4904.4958529748,9318.55463701911,8020.22979267201,38361.6300822209,5912.85545111296,8058.88404016648,5557.10240729806,4404.37203347238,6493.58998054036,5193.48673272548,5654.60507784471,8308.53935644111,2698.50679570041,2885.35590391197,2166.39084971934,2828.44999666705,3462.44343600484,4557.56853604318,5525.32142158546,1729.33675198924,3323.11334991123,2979.59011472906,2233.78102646217,2535.14516882388,5858.74209410654,4205.76381089497,4640.91450902303,6673.32882318114,21351.902126659,19259.7972192885,23288.5861244112,18344.5514901289,13101.8190502115,12639.5525088074,29596.1321648004,10961.9537636089,23137.5983292126,7997.86161347984,8399.82579504049,8142.06527985126,11473.2118233686,15010.6526708403
"m3",704.090180328262,1310.97209711788,3581.88906541076,5157.34342679302,4614.49953647102,12498.7088563561,7337.21323076414,15010.0547535406,5692.12189126003,3655.93302506635,2202.56000703842,5766.66891887748,5299.76184262176,2917.84222829501,4314.97746043057,8546.36358799579,5267.04125721934,7940.63383041523,6134.37298879084,24485.7200482989,1370.18213762575,2191.88653154302,2963.49898851044,2646.8714588207,4076.73744184442,2990.09335295468,3378.97840697419,5204.94588412745,0,2328.43853115167,1410.28599419047,1932.65018094414,0,2847.42024010321,2588.41460795788,474.500537365805,660.669567548615,2201.57920694449,1751.87209896273,1900.96183058809,1244.0015665943,2605.71829115563,2688.60162729832,3428.32284997901,5054.2973108978,5561.84657369388,19573.3310041038,13002.6171445842,7490.61340050678,8815.69575321684,18558.1569347012,9032.55140705154,4676.58646442173,5448.95727656767,6593.65615106491,5987.24869504446,8712.180772916,12051.8954381656
"m4",0,619.848768962015,1308.81329267095,2751.26530907279,2336.6320082875,6304.89342245948,3690.62612675093,5860.91271181377,3394.66550240073,1978.95375883754,1595.73486268353,2385.90774467841,2573.92652433119,1886.7288576815,1817.13556668897,3558.86835469129,1722.81930005419,3817.67249992612,2941.70357272364,10599.1908911699,0,674.726329299305,1157.99965192447,1149.18168041926,1321.75208819142,1190.21512042757,1442.50110216776,2037.30941816954,0,0,0,0,0,1037.70813223847,483.330432277844,0,0,463.593519451708,0,0,608.793091276018,1070.59183557993,858.328662370476,1351.38275529592,0,0,4080.87279972701,3879.86334007433,4200.68055532926,4488.72927492518,8861.29807339934,3968.14925911078,2963.09224065932,2613.73262510991,3204.50082888599,3105.45427722306,4134.63540653056,5470.18928873912
"m5",0,0,480.609189314182,1170.531033707,333.131466333887,2612.45799124416,1362.47654859909,3283.75249949684,1398.62526728576,749.813446513529,0,1394.15577027578,1080.39362904588,296.805438478433,934.959310185043,1810.46126141729,986.262805557256,1651.55029866072,1001.36489049231,5804.41205016942,0,0,0,0,312.450008799409,0,0,454.092831707135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4121.02523286154,3697.29915164589,2061.74838871728,2147.65237679485,3081.38791729839,2294.59373317781,547.988777508322,1128.48835948481,1909.04668241966,1389.59754728033,1924.91422872405,2583.88581815186
"m6",0,0,1280.7778122782,1612.02023226809,5041.46176326315,15918.9251861809,1921.14756917646,3547.19086385517,3978.70436260373,2659.74844763736,0,1257.25819680539,1268.18172609535,916.33827168059,1302.24615707979,2991.17302275662,1695.49513128751,3025.5324282513,1757.50405125191,6737.76401194031,0,0,0,0,202.550560901166,0,0,582.525083860507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1518.65478888765,2875.37418866229,6019.00190647217,5491.49756058356,2463.2457017744,4211.6598851065,8628.84869325818,3470.42516584821,1704.65306691884,2205.7738534983,2931.39274367549,2323.47708081579,3391.30581370452,4790.1177332521
"m7",0,661.660317159043,0,1367.48281278519,2442.09394486226,7602.50533997985,1866.87800965726,3819.47978855648,2415.92305290542,1473.78147764896,0,1982.52972192047,1396.61533521345,978.118942903075,992.187207204894,2300.8688377484,1011.05964609612,2036.234484903,1745.91549698894,8353.79919400497,0,1060.10372247044,0,0,948.628754994716,0,0,1323.80197763823,0,0,0,0,0,0,0,0,0,0,0,0,733.873335585948,0,0,956.89783332921,3894.26687100017,1087.13221988278,4240.00759586091,2564.54226192675,2195.29947342896,0,3441.50788421851,0,3841.49498189828,1699.71896045787,1865.49469566974,1863.3832837632,2203.91170738787,3663.77280918316
